Question ID,Total Answers
12159960,1
12160010,2
12160060,4
12160070,1
12160100,1
12160140,2
12160180,1
12160190,1
12160200,1
12160210,1
12160220,1
12160250,2
12160300,3
12160390,3
12160430,1
12160460,5
12160530,3
12160540,4
12160580,1
12160620,3
12160760,3
12160770,2
12160820,1
12160850,1
12160910,1
12160930,2
12160960,2
12161060,2
12161090,1
12161120,2
12161140,1
12161290,1
12161320,3
12161330,2
12161470,1
12161530,3
12161560,1
12161590,3
12161620,2
12161630,2
12161640,4
12161720,3
12161770,1
12161830,2
12161840,1
12161860,2
12161880,1
12161900,2
12161980,3
12162010,4
12162090,1
12162170,3
12162210,1
12162290,2
12162380,1
12162400,1
12162430,1
12162490,1
12162500,1
12162530,1
12162570,1
12162650,1
12162660,2
12162710,1
12162810,1
12162820,1
12162840,1
12162860,3
12162890,2
12162900,1
12162920,1
12163080,2
12163100,2
12163130,1
12163160,1
12163190,2
12163220,2
12163230,1
12163240,3
12163250,6
12163260,2
12163330,1
12163350,2
12163360,1
12163370,2
12163390,4
12163420,1
12163440,2
12163490,1
12163520,1
12163530,2
12163540,2
12163560,2
12163600,1
12163610,2
12163620,1
12163670,1
12163760,1
12163770,1
12163810,4
12163820,1
12163840,4
12163890,2
12163950,1
12163990,2
12164030,1
12164180,1
12164240,3
12164280,5
12164290,5
12164360,1
12164380,1
12164390,2
12164400,3
12164470,5
12164520,4
12164540,1
12164560,2
12164570,1
12164610,4
12164650,4
12164680,2
12164690,2
12164710,1
12164720,1
12164770,1
12164780,1
12164850,1
12164910,1
12165030,2
12165150,2
12165190,3
12165200,4
12165330,1
12165360,2
12165400,4
12165420,1
12165430,2
12165450,1
12165510,3
12165520,2
12165530,1
12165620,1
12165650,1
12165700,1
12165710,1
12165730,3
12165760,1
12165810,5
12165820,2
12165840,3
12165850,1
12165860,1
12165880,4
12165890,2
12165920,2
12165950,1
12165960,2
12166000,2
12166010,2
12166050,1
12166140,3
12166250,2
12166270,3
12166280,2
12166340,1
12166350,1
12166380,1
12166510,4
12166580,1
12166590,1
12166610,2
12166690,1
12166710,1
12166740,1
12166790,2
12166800,2
12166850,2
12166870,1
12166890,3
12166900,2
12166930,1
12166950,2
12166970,1
12167000,1
12167050,1
12167060,2
12167070,1
12167190,3
12167210,1
12167220,4
12167250,3
12167290,1
12167310,1
12167420,1
12167430,3
12167440,2
12167480,1
12167550,1
12167580,1
12167590,2
12167630,5
12167660,3
12167740,1
12167750,1
12167780,2
12167800,3
12167810,1
12167900,2
12167910,1
12167990,2
12168030,1
12168090,1
12168110,4
12168200,3
12168220,2
12168230,1
12168260,2
12168300,2
12168310,2
12168330,1
12168350,1
12168420,1
12168460,2
12168470,1
12168490,1
12168520,1
12168570,7
12168590,1
12168610,1
12168620,1
12168630,3
12168660,3
12168780,2
12168790,1
12168860,1
12168870,1
12168960,3
12169020,2
12169060,1
12169120,3
12169160,2
12169170,1
12169210,1
12169230,1
12169290,1
12169350,1
12169370,3
12169400,1
12169410,2
12169480,1
12169500,3
12169520,3
12169530,1
12169540,1
12169580,1
12169590,1
12169600,2
12169610,1
12169640,1
12169690,2
12169710,1
12169720,1
12169740,1
12169760,2
12169790,1
12169810,2
12169840,2
12169940,1
12169960,1
12170020,1
12170090,2
12170100,3
12170110,3
12170120,1
12170150,3
12170160,2
12170170,2
12170180,1
12170230,1
12170250,1
12170310,1
12170400,4
12170410,2
12170440,1
12170460,2
12170500,2
12170560,1
12170570,5
12170630,2
12170650,1
12170720,1
12170750,1
12170770,1
12170780,1
12170820,1
12170890,1
12170910,3
12170920,1
12170950,2
12170960,1
12171030,4
12171070,1
12171080,1
12171120,1
12171130,1
12171140,1
12171230,1
12171290,4
12171320,2
12171340,1
12171420,1
12171440,2
12171460,3
12171520,1
12171530,1
12171560,2
12171640,5
12171650,2
12171660,2
12171700,1
12171790,2
12171810,2
12171910,1
12171990,8
12172110,1
12172120,1
12172170,5
12172210,2
12172270,3
12172300,6
12172360,1
12172380,2
12172390,3
12172470,1
12172520,1
12172530,4
12172570,4
12172580,1
12172590,2
12172610,1
12172620,3
12172630,4
12172650,3
12172660,2
12172710,1
12172730,1
12172770,2
12172840,2
12172880,1
12172900,1
12172940,1
12172950,1
12172960,3
12172990,1
12173000,2
12173020,3
12173040,1
12173050,1
12173090,1
12173100,2
12173130,4
12173150,3
12173190,1
12173220,1
12173240,3
12173350,3
12173420,2
12173440,1
12173470,1
12173490,2
12173610,1
12173630,2
12173670,1
12173770,3
12173780,1
12173800,4
12173850,3
12173860,2
12173870,1
12173920,1
12173990,1
12174000,3
12174040,3
12174080,2
12174090,1
12174120,2
12174130,3
12174140,2
12174320,1
12174330,2
12174350,2
12174370,2
12174400,1
12174410,1
12174420,2
12174440,1
12174470,3
12174500,1
12174510,1
12174610,1
12174650,1
12174670,4
12174720,3
12174790,1
12174800,1
12174810,2
12174820,1
12174830,2
12174880,2
12174940,1
12174980,1
12175010,1
12175020,3
12175050,1
12175070,1
12175080,1
12175110,1
12175130,2
12175190,4
12175200,1
12175260,1
12175350,1
12175400,1
12175430,1
12175500,1
12175520,2
12175540,1
12175590,1
12175620,1
12175670,5
12175730,1
12175750,1
12175760,1
12175780,1
12175850,1
12175870,1
12175930,1
12175940,2
12175950,1
12175970,3
12176020,2
12176040,1
12176080,2
12176130,1
12176170,4
12176180,1
12176200,1
12176230,4
12176280,3
12176330,1
12176350,2
12176400,1
12176410,1
12176420,1
12176520,1
12176530,2
12176540,2
12176580,3
12176610,3
12176640,1
12176660,4
12176720,2
12176820,1
12176870,2
12176910,3
12176960,5
12176970,2
12176980,1
12177010,1
12177120,1
12177160,2
12177180,3
12177200,1
12177220,1
12177230,1
12177270,1
12177300,1
12177320,2
12177340,2
12177370,2
12177440,1
12177560,1
12177600,3
12177630,8
12177640,2
12177650,2
12177680,1
12177750,1
12177800,3
12177900,3
12177970,1
12178010,1
12178050,2
12178160,1
12178250,1
12178280,2
12178310,1
12178330,2
12178400,1
12178560,1
12178570,4
12178590,1
12178600,2
12178650,5
12178720,2
12178730,1
12178740,1
12178750,1
12178760,1
12178780,1
12178800,1
12178810,1
12178830,2
12178850,3
12178860,1
12178910,3
12178960,2
12179020,3
12179030,1
12179080,1
12179130,2
12179200,1
12179290,4
12179330,6
12179360,2
12179370,1
12179400,1
12179460,3
12179470,1
12179480,5
12179500,2
12179510,1
12179530,1
12179610,2
12179640,1
12179730,1
12179770,3
12179780,1
12179840,4
12179930,1
12180040,1
12180070,3
12180100,1
12180110,3
12180150,1
12180170,1
12180200,3
12180210,1
12180220,3
12180290,1
12180420,1
12180510,1
12180540,3
12180590,1
12180690,2
12180790,5
12180820,2
12180830,4
12180870,1
12180910,1
12180940,1
12180980,2
12180990,1
12181010,2
12181080,2
12181110,1
12181150,2
12181160,1
12181220,1
12181250,1
12181270,2
12181300,2
12181320,1
12181330,3
12181350,3
12181360,1
12181410,1
12181470,2
12181490,2
12181550,3
12181620,2
12181630,2
12181640,1
12181650,1
12181710,1
12181730,2
12181740,1
12181750,3
12181760,8
12181770,5
12181800,3
12181820,1
12181840,2
12181900,4
12181910,2
12181940,2
12181950,1
12182000,1
12182020,2
12182030,1
12182040,1
12182060,2
12182110,1
12182120,1
12182160,1
12182220,1
12182240,3
12182250,2
12182300,1
12182320,2
12182340,1
12182390,1
12182430,1
12182460,1
12182500,1
12182520,2
12182530,2
12182540,1
12182570,2
12182580,1
12182590,2
12182620,4
12182630,1
12182690,1
12182740,1
12182760,1
12182790,1
12182820,4
12182850,2
12182870,1
12182890,1
12182910,5
12182930,1
12182940,5
12183090,3
12183110,1
12183140,1
12183170,1
12183240,1
12183250,1
12183260,1
12183280,1
12183300,1
12183310,4
12183330,2
12183360,1
12183440,1
12183490,2
12183520,3
12183530,2
12183540,2
12183590,2
12183690,1
12183710,2
12183730,2
12183750,1
12183780,3
12183790,2
12183800,2
12183860,5
12183920,1
12183930,2
12183960,2
12183980,1
12184050,1
12184080,1
12184100,3
12184190,3
12184220,1
12184340,1
12184430,1
12184460,3
12184470,1
12184520,4
12184600,1
12184620,1
12184670,1
12184740,2
12184750,1
12184760,1
12184860,4
12184930,3
12184940,1
12184980,1
12185010,2
12185100,2
12185110,1
12185230,1
12185270,3
12185280,1
12185290,1
12185330,2
12185400,2
12185410,4
12185490,3
12185500,2
12185510,1
12185520,1
12185670,4
12185690,7
12185700,1
12185740,2
12185750,1
12185790,2
12185800,1
12185870,1
12185920,1
12186040,2
12186050,1
12186060,1
12186100,3
12186110,2
12186160,1
12186220,2
12186250,1
12186310,3
12186370,1
12186380,4
12186390,2
12186400,1
12186440,1
12186460,2
12186490,1
12186500,1
12186510,2
12186520,2
12186540,1
12186600,1
12186610,2
12186660,1
12186740,1
12186750,1
12186790,1
12186870,2
12186940,4
12186980,1
12187040,1
12187050,2
12187190,1
12187220,3
12187350,1
12187380,1
12187390,1
12187400,1
12187500,1
12187510,2
12187520,3
12187540,1
12187560,2
12187610,1
12187620,1
12187630,1
12187640,1
12187660,2
12187720,1
12187730,1
12187750,7
12187800,2
12187810,1
12187850,1
12187860,3
12188000,2
12188020,10
12188040,2
12188060,1
12188070,1
12188130,1
12188140,3
12188230,3
12188270,2
12188290,1
12188300,1
12188320,1
12188330,1
12188390,1
12188410,2
12188430,1
12188460,1
12188470,1
12188500,1
12188510,1
12188640,1
12188700,2
12188800,1
12188940,1
12188960,1
12188970,2
