Question ID,Total Answers
28381630,1
28381650,1
28381680,1
28381730,1
28381750,1
28381770,1
28381790,1
28381800,1
28381810,1
28381870,1
28381940,1
28381960,2
28382120,1
28382150,2
28382170,2
28382210,1
28382230,1
28382250,1
28382260,5
28382270,2
28382290,1
28382310,5
28382320,1
28382390,1
28382450,1
28382460,3
28382500,1
28382510,1
28382550,1
28382560,3
28382600,1
28382610,1
28382640,1
28382660,2
28382670,3
28382720,1
28382730,1
28382800,2
28382810,1
28382850,2
28382960,1
28382990,2
28383050,1
28383100,1
28383120,2
28383140,1
28383150,3
28383160,1
28383200,1
28383220,4
28383230,1
28383240,2
28383250,1
28383280,2
28383300,1
28383390,1
28383400,3
28383440,2
28383450,1
28383460,1
28383480,1
28383520,1
28383530,1
28383540,1
28383560,1
28383580,1
28383610,1
28383630,1
28383640,1
28383720,1
28383730,4
28383750,1
28383770,1
28383780,1
28383810,1
28383830,1
28383850,1
28383860,1
28384000,1
28384010,1
28384040,3
28384070,1
28384110,1
28384130,1
28384220,1
28384230,1
28384240,1
28384290,1
28384320,1
28384390,1
28384430,2
28384440,1
28384450,1
28384470,2
28384500,3
28384570,1
28384600,2
28384650,2
28384680,4
28384700,2
28384740,1
28384770,1
28384830,2
28384850,1
28384870,2
28384970,1
28385000,2
28385060,1
28385070,1
28385120,1
28385130,2
28385220,1
28385230,2
28385270,2
28385280,3
28385320,2
28385490,1
28385540,2
28385590,1
28385610,1
28385620,1
28385630,1
28385640,3
28385650,2
28385790,1
28385820,2
28385830,1
28385840,1
28385850,2
28385900,3
28385940,1
28386010,1
28386050,2
28386090,1
28386100,1
28386120,1
28386210,1
28386270,1
28386290,3
28386310,1
28386350,2
28386450,2
28386470,2
28386490,2
28386520,1
28386540,3
28386610,1
28386640,1
28386650,1
28386710,1
28386720,2
28386810,3
28386890,3
28386900,2
28386910,6
28386930,1
28386960,1
28387080,1
28387100,1
28387140,2
28387160,1
28387180,2
28387210,2
28387230,1
28387250,1
28387260,3
28387290,2
28387320,1
28387340,4
28387350,1
28387400,1
28387460,2
28387510,3
28387540,1
28387590,1
28387600,1
28387610,2
28387670,1
28387680,1
28387690,1
28387720,2
28387750,5
28387760,1
28387770,1
28387780,1
28387800,1
28387810,2
28387920,1
28387930,1
28387990,1
28388140,1
28388190,1
28388200,1
28388220,3
28388240,1
28388250,3
28388280,1
28388310,1
28388320,2
28388330,1
28388350,1
28388400,2
28388530,4
28388560,1
28388580,1
28388590,1
28388640,1
28388650,1
28388690,5
28388780,2
28388810,1
28388820,2
28388850,1
28388860,1
28388880,1
28388900,2
28388910,1
28388960,3
28388980,2
28389050,1
28389200,1
28389290,1
28389300,1
28389330,1
28389340,1
28389380,1
28389400,1
28389420,1
28389430,1
28389440,1
28389510,2
28389540,1
28389560,1
28389610,1
28389660,2
28389670,2
28389710,3
28389750,1
28389760,1
28389770,1
28389880,1
28389890,1
28389940,1
28389980,2
28389990,2
28390060,1
28390080,1
28390120,1
28390170,2
28390190,2
28390200,1
28390220,1
28390320,2
28390370,1
28390380,2
28390410,2
28390460,1
28390470,1
28390500,1
28390550,1
28390560,1
28390570,2
28390630,2
28390720,1
28390730,2
28390760,1
28390830,1
28390860,5
28390930,1
28390940,3
28390970,1
28391000,1
28391050,2
28391060,1
28391080,1
28391090,1
28391120,2
28391180,1
28391190,2
28391230,3
28391260,2
28391270,1
28391290,2
28391300,1
28391320,1
28391340,1
28391370,3
28391380,3
28391390,1
28391400,1
28391430,1
28391460,2
28391480,1
28391520,2
28391610,1
28391640,1
28391750,1
28391770,3
28391800,1
28391840,1
28391850,2
28391920,1
28391960,1
28392010,1
28392040,1
28392060,1
28392090,2
28392130,1
28392240,1
28392290,1
28392410,1
28392420,2
28392450,6
28392510,1
28392580,4
28392750,2
28392760,3
28392800,2
28392810,1
28392840,1
28392860,3
28392870,1
28392910,2
28392920,1
28392960,1
28392970,1
28393010,3
28393140,1
28393150,1
28393210,3
28393310,1
28393390,2
28393400,2
28393410,2
28393420,1
28393450,2
28393460,1
28393490,2
28393560,1
28393590,1
28393650,1
28393680,2
28393690,1
28393730,1
28393750,2
28393790,2
28393840,1
28393920,3
28393950,1
28393960,1
28393970,1
28394100,1
28394110,2
28394130,1
28394190,1
28394220,1
28394230,2
28394280,1
28394290,1
28394350,2
28394400,2
28394460,2
28394480,1
28394500,1
28394520,2
28394570,2
28394610,1
28394670,3
28394820,2
28394870,1
28394890,1
28394920,1
28394930,3
28394960,1
28394970,2
28394980,1
28395020,1
28395040,1
28395050,1
28395060,1
28395100,2
28395130,1
28395140,1
28395170,2
28395220,1
28395260,1
28395280,1
28395370,1
28395380,1
28395400,3
28395470,1
28395510,1
28395560,1
28395600,1
28395620,2
